Mã,Tên,Cấp,Mã TP,Tỉnh / Thành Phố
598,Phường Thượng Cát,Phường,1,Thành phố Hà Nội
602,Phường Đông Ngạc,Phường,1,Thành phố Hà Nội
611,Phường Xuân Đỉnh,Phường,1,Thành phố Hà Nội
613,Phường Tây Tựu,Phường,1,Thành phố Hà Nội
619,Phường Phú Diễn,Phường,1,Thành phố Hà Nội
622,Phường Xuân Phương ,Phường,1,Thành phố Hà Nội
634,Phường Tây Mỗ,Phường,1,Thành phố Hà Nội
637,Phường Đại Mỗ,Phường,1,Thành phố Hà Nội
640,Xã Thanh Trì,Xã,1,Thành phố Hà Nội
643,Phường Thanh Liệt,Phường,1,Thành phố Hà Nội
664,Xã Đại Thanh,Xã,1,Thành phố Hà Nội
679,Xã Ngọc Hồi,Xã,1,Thành phố Hà Nội
685,Xã Nam Phù,Xã,1,Thành phố Hà Nội
4930,Xã Yên Xuân,Xã,1,Thành phố Hà Nội
8974,Xã Quang Minh,Xã,1,Thành phố Hà Nội
8980,Xã Yên Lãng,Xã,1,Thành phố Hà Nội
8995,Xã Tiến Thắng,Xã,1,Thành phố Hà Nội
9022,Xã Mê Linh,Xã,1,Thành phố Hà Nội
9552,Phường Kiến Hưng ,Phường,1,Thành phố Hà Nội
9556,Phường Hà Đông,Phường,1,Thành phố Hà Nội
9562,Phường Yên Nghĩa,Phường,1,Thành phố Hà Nội
9568,Phường Phú Lương,Phường,1,Thành phố Hà Nội
9574,Phường Sơn Tây,Phường,1,Thành phố Hà Nội
9604,Phường Tùng Thiện,Phường,1,Thành phố Hà Nội
9616,Xã Đoài Phương,Xã,1,Thành phố Hà Nội
9619,Xã Quảng Oai,Xã,1,Thành phố Hà Nội
9634,Xã Cổ Đô,Xã,1,Thành phố Hà Nội
9661,Xã Minh Châu,Xã,1,Thành phố Hà Nội
9664,Xã Vật Lại,Xã,1,Thành phố Hà Nội
9676,Xã Bất Bạt,Xã,1,Thành phố Hà Nội
9694,Xã Suối Hai,Xã,1,Thành phố Hà Nội
9700,Xã Ba Vì,Xã,1,Thành phố Hà Nội
9706,Xã Yên Bài ,Xã,1,Thành phố Hà Nội
9715,Xã Phúc Thọ,Xã,1,Thành phố Hà Nội
9739,Xã Phúc Lộc,Xã,1,Thành phố Hà Nội
9772,Xã Hát Môn,Xã,1,Thành phố Hà Nội
9784,Xã Đan Phượng,Xã,1,Thành phố Hà Nội
9787,Xã Liên Minh,Xã,1,Thành phố Hà Nội
9817,Xã Ô Diên,Xã,1,Thành phố Hà Nội
9832,Xã Hoài Đức,Xã,1,Thành phố Hà Nội
9856,Xã Dương Hòa,Xã,1,Thành phố Hà Nội
9871,Xã Sơn Đồng,Xã,1,Thành phố Hà Nội
9877,Xã An Khánh,Xã,1,Thành phố Hà Nội
9886,Phường Dương Nội,Phường,1,Thành phố Hà Nội
9895,Xã Quốc Oai,Xã,1,Thành phố Hà Nội
9910,Xã Kiều Phú,Xã,1,Thành phố Hà Nội
9931,Xã Hưng Đạo ,Xã,1,Thành phố Hà Nội
9952,Xã Phú Cát ,Xã,1,Thành phố Hà Nội
9955,Xã Thạch Thất,Xã,1,Thành phố Hà Nội
9982,Xã Hạ Bằng,Xã,1,Thành phố Hà Nội
9988,Xã Hòa Lạc,Xã,1,Thành phố Hà Nội
10003,Xã Tây Phương,Xã,1,Thành phố Hà Nội
10015,Phường Chương Mỹ,Phường,1,Thành phố Hà Nội
10030,Xã Phú Nghĩa,Xã,1,Thành phố Hà Nội
10045,Xã Xuân Mai,Xã,1,Thành phố Hà Nội
10072,Xã Quảng Bị,Xã,1,Thành phố Hà Nội
10081,Xã Trần Phú ,Xã,1,Thành phố Hà Nội
10096,Xã Hòa Phú ,Xã,1,Thành phố Hà Nội
10114,Xã Thanh Oai,Xã,1,Thành phố Hà Nội
10126,Xã Bình Minh ,Xã,1,Thành phố Hà Nội
10144,Xã Tam Hưng,Xã,1,Thành phố Hà Nội
10180,Xã Dân Hòa ,Xã,1,Thành phố Hà Nội
10183,Xã Thường Tín,Xã,1,Thành phố Hà Nội
10210,Xã Hồng Vân,Xã,1,Thành phố Hà Nội
10231,Xã Thượng Phúc,Xã,1,Thành phố Hà Nội
10237,Xã Chương Dương,Xã,1,Thành phố Hà Nội
10273,Xã Phú Xuyên,Xã,1,Thành phố Hà Nội
10279,Xã Phượng Dực,Xã,1,Thành phố Hà Nội
10330,Xã Chuyên Mỹ,Xã,1,Thành phố Hà Nội
10342,Xã Đại Xuyên,Xã,1,Thành phố Hà Nội
10354,Xã Vân Đình,Xã,1,Thành phố Hà Nội
10369,Xã Ứng Thiên,Xã,1,Thành phố Hà Nội
10402,Xã Ứng Hòa,Xã,1,Thành phố Hà Nội
10417,Xã Hòa Xá,Xã,1,Thành phố Hà Nội
10441,Xã Mỹ Đức,Xã,1,Thành phố Hà Nội
10459,Xã Phúc Sơn,Xã,1,Thành phố Hà Nội
10465,Xã Hồng Sơn,Xã,1,Thành phố Hà Nội
10489,Xã Hương Sơn,Xã,1,Thành phố Hà Nội
1273,Phường Thục Phán,Phường,4,Tỉnh Cao Bằng
1279,Phường Nùng Trí Cao,Phường,4,Tỉnh Cao Bằng
1288,Phường Tân Giang,Phường,4,Tỉnh Cao Bằng
1290,Xã Bảo Lâm,Xã,4,Tỉnh Cao Bằng
1294,Xã Lý Bôn,Xã,4,Tỉnh Cao Bằng
1297,Xã Nam Quang,Xã,4,Tỉnh Cao Bằng
1304,Xã Quảng Lâm,Xã,4,Tỉnh Cao Bằng
1318,Xã Yên Thổ,Xã,4,Tỉnh Cao Bằng
1321,Xã Bảo Lạc,Xã,4,Tỉnh Cao Bằng
1324,Xã Cốc Pàng,Xã,4,Tỉnh Cao Bằng
1327,Xã Cô Ba,Xã,4,Tỉnh Cao Bằng
1336,Xã Khánh Xuân,Xã,4,Tỉnh Cao Bằng
1339,Xã Xuân Trường,Xã,4,Tỉnh Cao Bằng
1351,Xã Hưng Đạo,Xã,4,Tỉnh Cao Bằng
1354,Xã Huy Giáp,Xã,4,Tỉnh Cao Bằng
1360,Xã Sơn Lộ,Xã,4,Tỉnh Cao Bằng
1363,Xã Thông Nông,Xã,4,Tỉnh Cao Bằng
1366,Xã Cần Yên,Xã,4,Tỉnh Cao Bằng
1387,Xã Thanh Long,Xã,4,Tỉnh Cao Bằng
1392,Xã Trường Hà,Xã,4,Tỉnh Cao Bằng
1393,Xã Lũng Nặm,Xã,4,Tỉnh Cao Bằng
1414,Xã Tổng Cọt,Xã,4,Tỉnh Cao Bằng
1438,Xã Hà Quảng,Xã,4,Tỉnh Cao Bằng
1447,Xã Trà Lĩnh,Xã,4,Tỉnh Cao Bằng
1456,Xã Quang Hán,Xã,4,Tỉnh Cao Bằng
1465,Xã Quang Trung,Xã,4,Tỉnh Cao Bằng
1477,Xã Trùng Khánh,Xã,4,Tỉnh Cao Bằng
1489,Xã Đình Phong,Xã,4,Tỉnh Cao Bằng
1501,Xã Đàm Thủy,Xã,4,Tỉnh Cao Bằng
1525,Xã Đoài Dương,Xã,4,Tỉnh Cao Bằng
1537,Xã Lý Quốc,Xã,4,Tỉnh Cao Bằng
1552,Xã Quang Long,Xã,4,Tỉnh Cao Bằng
1558,Xã Hạ Lang,Xã,4,Tỉnh Cao Bằng
1561,Xã Vinh Quý,Xã,4,Tỉnh Cao Bằng
1576,Xã Quảng Uyên,Xã,4,Tỉnh Cao Bằng
1594,Xã Độc Lập,Xã,4,Tỉnh Cao Bằng
1618,Xã Hạnh Phúc,Xã,4,Tỉnh Cao Bằng
1636,Xã Bế Văn Đàn,Xã,4,Tỉnh Cao Bằng
1648,Xã Phục Hòa,Xã,4,Tỉnh Cao Bằng
1654,Xã Hòa An,Xã,4,Tỉnh Cao Bằng
1660,Xã Nam Tuấn,Xã,4,Tỉnh Cao Bằng
1699,Xã Nguyễn Huệ,Xã,4,Tỉnh Cao Bằng
1708,Xã Bạch Đằng,Xã,4,Tỉnh Cao Bằng
1726,Xã Nguyên Bình,Xã,4,Tỉnh Cao Bằng
1729,Xã Tĩnh Túc,Xã,4,Tỉnh Cao Bằng
1738,Xã Ca Thành,Xã,4,Tỉnh Cao Bằng
1747,Xã Minh Tâm,Xã,4,Tỉnh Cao Bằng
1768,Xã Phan Thanh,Xã,4,Tỉnh Cao Bằng
1774,Xã Tam Kim,Xã,4,Tỉnh Cao Bằng
1777,Xã Thành Công,Xã,4,Tỉnh Cao Bằng
1786,Xã Đông Khê,Xã,4,Tỉnh Cao Bằng
1789,Xã Canh Tân,Xã,4,Tỉnh Cao Bằng
1792,Xã Kim Đồng,Xã,4,Tỉnh Cao Bằng
1795,Xã Minh Khai,Xã,4,Tỉnh Cao Bằng
1807,Xã Thạch An,Xã,4,Tỉnh Cao Bằng
1822,Xã Đức Long,Xã,4,Tỉnh Cao Bằng
691,Phường Hà Giang 2,Phường,8,Tỉnh Tuyên Quang
694,Phường Hà Giang 1,Phường,8,Tỉnh Tuyên Quang
700,Xã Ngọc Đường,Xã,8,Tỉnh Tuyên Quang
706,Xã Phú Linh,Xã,8,Tỉnh Tuyên Quang
715,Xã Lũng Cú,Xã,8,Tỉnh Tuyên Quang
721,Xã Đồng Văn,Xã,8,Tỉnh Tuyên Quang
733,Xã Sà Phìn ,Xã,8,Tỉnh Tuyên Quang
745,Xã Phố Bảng,Xã,8,Tỉnh Tuyên Quang
763,Xã Lũng Phìn,Xã,8,Tỉnh Tuyên Quang
769,Xã Mèo Vạc,Xã,8,Tỉnh Tuyên Quang
778,Xã Sơn Vĩ,Xã,8,Tỉnh Tuyên Quang
787,Xã Sủng Máng,Xã,8,Tỉnh Tuyên Quang
802,Xã Khâu Vai,Xã,8,Tỉnh Tuyên Quang
808,Xã Tát Ngà,Xã,8,Tỉnh Tuyên Quang
817,Xã Niêm Sơn,Xã,8,Tỉnh Tuyên Quang
820,Xã Yên Minh,Xã,8,Tỉnh Tuyên Quang
829,Xã Thắng Mố,Xã,8,Tỉnh Tuyên Quang
832,Xã Bạch Đích,Xã,8,Tỉnh Tuyên Quang
847,Xã Mậu Duệ,Xã,8,Tỉnh Tuyên Quang
859,Xã Ngọc Long,Xã,8,Tỉnh Tuyên Quang
865,Xã Đường Thượng,Xã,8,Tỉnh Tuyên Quang
871,Xã Du Già,Xã,8,Tỉnh Tuyên Quang
874,Xã Quản Bạ,Xã,8,Tỉnh Tuyên Quang
883,Xã Cán Tỷ,Xã,8,Tỉnh Tuyên Quang
889,Xã Nghĩa Thuận,Xã,8,Tỉnh Tuyên Quang
892,Xã Tùng Vài,Xã,8,Tỉnh Tuyên Quang
901,Xã Lùng Tám,Xã,8,Tỉnh Tuyên Quang
913,Xã Vị Xuyên,Xã,8,Tỉnh Tuyên Quang
919,Xã Minh Tân,Xã,8,Tỉnh Tuyên Quang
922,Xã Thuận Hoà,Xã,8,Tỉnh Tuyên Quang
925,Xã Tùng Bá,Xã,8,Tỉnh Tuyên Quang
928,Xã Thanh Thủy,Xã,8,Tỉnh Tuyên Quang
937,Xã Lao Chải,Xã,8,Tỉnh Tuyên Quang
952,Xã Cao Bồ,Xã,8,Tỉnh Tuyên Quang
958,Xã Thượng Sơn,Xã,8,Tỉnh Tuyên Quang
967,Xã Việt Lâm,Xã,8,Tỉnh Tuyên Quang
970,Xã Linh Hồ,Xã,8,Tỉnh Tuyên Quang
976,Xã Bạch Ngọc,Xã,8,Tỉnh Tuyên Quang
982,Xã Minh Sơn,Xã,8,Tỉnh Tuyên Quang
985,Xã Giáp Trung,Xã,8,Tỉnh Tuyên Quang
991,Xã Bắc Mê,Xã,8,Tỉnh Tuyên Quang
994,Xã Minh Ngọc,Xã,8,Tỉnh Tuyên Quang
1006,Xã Yên Cường,Xã,8,Tỉnh Tuyên Quang
1012,Xã Đường Hồng,Xã,8,Tỉnh Tuyên Quang
1021,Xã Hoàng Su Phì,Xã,8,Tỉnh Tuyên Quang
1024,Xã Bản Máy,Xã,8,Tỉnh Tuyên Quang
1033,Xã Thàng Tín,Xã,8,Tỉnh Tuyên Quang
1051,Xã Tân Tiến,Xã,8,Tỉnh Tuyên Quang
1057,Xã Pờ Ly Ngài,Xã,8,Tỉnh Tuyên Quang
1075,Xã Nậm Dịch,Xã,8,Tỉnh Tuyên Quang
1084,Xã Hồ Thầu,Xã,8,Tỉnh Tuyên Quang
1090,Xã Thông Nguyên,Xã,8,Tỉnh Tuyên Quang
1096,Xã Pà Vầy Sủ,Xã,8,Tỉnh Tuyên Quang
1108,Xã Xín Mần,Xã,8,Tỉnh Tuyên Quang
1117,Xã Trung Thịnh,Xã,8,Tỉnh Tuyên Quang
1141,Xã Nấm Dẩn,Xã,8,Tỉnh Tuyên Quang
1144,Xã Quảng Nguyên,Xã,8,Tỉnh Tuyên Quang
1147,Xã Khuôn Lùng,Xã,8,Tỉnh Tuyên Quang
1153,Xã Bắc Quang,Xã,8,Tỉnh Tuyên Quang
1156,Xã Vĩnh Tuy,Xã,8,Tỉnh Tuyên Quang
1165,Xã Đồng Tâm,Xã,8,Tỉnh Tuyên Quang
1171,Xã Tân Quang,Xã,8,Tỉnh Tuyên Quang
1180,Xã Bằng Hành,Xã,8,Tỉnh Tuyên Quang
1192,Xã Liên Hiệp,Xã,8,Tỉnh Tuyên Quang
1201,Xã Hùng An,Xã,8,Tỉnh Tuyên Quang
1216,Xã Đồng Yên,Xã,8,Tỉnh Tuyên Quang
1225,Xã Tiên Nguyên,Xã,8,Tỉnh Tuyên Quang
1234,Xã Yên Thành,Xã,8,Tỉnh Tuyên Quang
1237,Xã Quang Bình,Xã,8,Tỉnh Tuyên Quang
1243,Xã Tân Trịnh,Xã,8,Tỉnh Tuyên Quang
1246,Xã Bằng Lang,Xã,8,Tỉnh Tuyên Quang
1255,Xã Xuân Giang,Xã,8,Tỉnh Tuyên Quang
1261,Xã Tiên Yên,Xã,8,Tỉnh Tuyên Quang
2212,Phường Nông Tiến ,Phường,8,Tỉnh Tuyên Quang
2215,Phường Minh Xuân,Phường,8,Tỉnh Tuyên Quang
2221,Xã Nà Hang,Xã,8,Tỉnh Tuyên Quang
2239,Xã Thượng Nông,Xã,8,Tỉnh Tuyên Quang
2245,Xã Côn Lôn,Xã,8,Tỉnh Tuyên Quang
2248,Xã Yên Hoa,Xã,8,Tỉnh Tuyên Quang
2260,Xã Hồng Thái ,Xã,8,Tỉnh Tuyên Quang
2266,Xã Lâm Bình ,Xã,8,Tỉnh Tuyên Quang
2269,Xã Thượng Lâm,Xã,8,Tỉnh Tuyên Quang
2287,Xã Chiêm Hoá,Xã,8,Tỉnh Tuyên Quang
2296,Xã Bình An,Xã,8,Tỉnh Tuyên Quang
2302,Xã Minh Quang,Xã,8,Tỉnh Tuyên Quang
2305,Xã Trung Hà,Xã,8,Tỉnh Tuyên Quang
2308,Xã Tân Mỹ,Xã,8,Tỉnh Tuyên Quang
2317,Xã Yên Lập,Xã,8,Tỉnh Tuyên Quang
2320,Xã Tân An,Xã,8,Tỉnh Tuyên Quang
2332,Xã Kiên Đài,Xã,8,Tỉnh Tuyên Quang
2350,Xã Kim Bình,Xã,8,Tỉnh Tuyên Quang
2353,Xã Hoà An,Xã,8,Tỉnh Tuyên Quang
2359,Xã Tri Phú ,Xã,8,Tỉnh Tuyên Quang
2365,Xã Yên Nguyên,Xã,8,Tỉnh Tuyên Quang
2374,Xã Hàm Yên,Xã,8,Tỉnh Tuyên Quang
2380,Xã Bạch Xa,Xã,8,Tỉnh Tuyên Quang
2392,Xã Phù Lưu,Xã,8,Tỉnh Tuyên Quang
2398,Xã Yên Phú,Xã,8,Tỉnh Tuyên Quang
2404,Xã Bình Xa,Xã,8,Tỉnh Tuyên Quang
2407,Xã Thái Sơn,Xã,8,Tỉnh Tuyên Quang
2419,Xã Thái Hoà,Xã,8,Tỉnh Tuyên Quang
2425,Xã Hùng Đức,Xã,8,Tỉnh Tuyên Quang
2434,Xã Lực Hành,Xã,8,Tỉnh Tuyên Quang
2437,Xã Kiến Thiết,Xã,8,Tỉnh Tuyên Quang
2449,Xã Xuân Vân,Xã,8,Tỉnh Tuyên Quang
2455,Xã Hùng Lợi,Xã,8,Tỉnh Tuyên Quang
2458,Xã Trung Sơn,Xã,8,Tỉnh Tuyên Quang
2470,Xã Tân Long,Xã,8,Tỉnh Tuyên Quang
2473,Xã Yên Sơn,Xã,8,Tỉnh Tuyên Quang
2494,Xã Thái Bình,Xã,8,Tỉnh Tuyên Quang
2509,Phường Mỹ Lâm,Phường,8,Tỉnh Tuyên Quang
2512,Phường An Tường,Phường,8,Tỉnh Tuyên Quang
2524,Phường Bình Thuận ,Phường,8,Tỉnh Tuyên Quang
2530,Xã Nhữ Khê,Xã,8,Tỉnh Tuyên Quang
2536,Xã Sơn Dương,Xã,8,Tỉnh Tuyên Quang
2545,Xã Tân Trào,Xã,8,Tỉnh Tuyên Quang
2548,Xã Bình Ca,Xã,8,Tỉnh Tuyên Quang
2554,Xã Minh Thanh,Xã,8,Tỉnh Tuyên Quang
2572,Xã Đông Thọ,Xã,8,Tỉnh Tuyên Quang
2578,Xã Tân Thanh,Xã,8,Tỉnh Tuyên Quang
2608,Xã Hồng Sơn,Xã,8,Tỉnh Tuyên Quang
2611,Xã Phú Lương,Xã,8,Tỉnh Tuyên Quang
2620,Xã Sơn Thuỷ,Xã,8,Tỉnh Tuyên Quang
2623,Xã Trường Sinh,Xã,8,Tỉnh Tuyên Quang
3127,Phường Điện Biên Phủ,Phường,11,Tỉnh Điện Biên
3151,Phường Mường Lay,Phường,11,Tỉnh Điện Biên
3158,Xã Sín Thầu,Xã,11,Tỉnh Điện Biên
3160,Xã Mường Nhé,Xã,11,Tỉnh Điện Biên
3162,Xã Nậm Kè,Xã,11,Tỉnh Điện Biên
3163,Xã Mường Toong,Xã,11,Tỉnh Điện Biên
3164,Xã Quảng Lâm,Xã,11,Tỉnh Điện Biên
3166,Xã Mường Chà,Xã,11,Tỉnh Điện Biên
3169,Xã Nà Hỳ,Xã,11,Tỉnh Điện Biên
3172,Xã Na Sang,Xã,11,Tỉnh Điện Biên
3175,Xã Chà Tở,Xã,11,Tỉnh Điện Biên
3176,Xã Nà Bủng,Xã,11,Tỉnh Điện Biên
3181,Xã Mường Tùng,Xã,11,Tỉnh Điện Biên
3193,Xã Pa Ham,Xã,11,Tỉnh Điện Biên
3194,Xã Nậm Nèn,Xã,11,Tỉnh Điện Biên
3199,Xã Si Pa Phìn,Xã,11,Tỉnh Điện Biên
3202,Xã Mường Pồn,Xã,11,Tỉnh Điện Biên
3203,Xã Na Son,Xã,11,Tỉnh Điện Biên
3208,Xã Xa Dung,Xã,11,Tỉnh Điện Biên
3214,Xã Mường Luân,Xã,11,Tỉnh Điện Biên
3217,Xã Tủa Chùa,Xã,11,Tỉnh Điện Biên
3220,Xã Tủa Thàng,Xã,11,Tỉnh Điện Biên
3226,Xã Sín Chải,Xã,11,Tỉnh Điện Biên
3241,Xã Sính Phình,Xã,11,Tỉnh Điện Biên
3244,Xã Sáng Nhè,Xã,11,Tỉnh Điện Biên
3253,Xã Tuần Giáo,Xã,11,Tỉnh Điện Biên
3256,Xã Mường Ảng,Xã,11,Tỉnh Điện Biên
3260,Xã Pú Nhung,Xã,11,Tỉnh Điện Biên
3268,Xã Mường Mùn,Xã,11,Tỉnh Điện Biên
3283,Xã Chiềng Sinh,Xã,11,Tỉnh Điện Biên
3295,Xã Quài Tở,Xã,11,Tỉnh Điện Biên
3301,Xã Búng Lao,Xã,11,Tỉnh Điện Biên
3313,Xã Mường Lạn,Xã,11,Tỉnh Điện Biên
3316,Xã Nà Tấu,Xã,11,Tỉnh Điện Biên
3325,Xã Mường Phăng,Xã,11,Tỉnh Điện Biên
3328,Xã Thanh Nưa,Xã,11,Tỉnh Điện Biên
3334,Phường Mường Thanh,Phường,11,Tỉnh Điện Biên
3349,Xã Thanh Yên,Xã,11,Tỉnh Điện Biên
3352,Xã Thanh An,Xã,11,Tỉnh Điện Biên
3356,Xã Sam Mứn,Xã,11,Tỉnh Điện Biên
3358,Xã Núa Ngam,Xã,11,Tỉnh Điện Biên
3368,Xã Mường Nhà,Xã,11,Tỉnh Điện Biên
3370,Xã Pu Nhi,Xã,11,Tỉnh Điện Biên
3382,Xã Phình Giàng,Xã,11,Tỉnh Điện Biên
3385,Xã Tìa Dình,Xã,11,Tỉnh Điện Biên
3388,Phường Đoàn Kết,Phường,12,Tỉnh Lai Châu
3390,Xã Bình Lư,Xã,12,Tỉnh Lai Châu
3394,Xã Sin Suối Hồ,Xã,12,Tỉnh Lai Châu
3405,Xã Tả Lèng,Xã,12,Tỉnh Lai Châu
3408,Phường Tân Phong,Phường,12,Tỉnh Lai Châu
3424,Xã Bản Bo,Xã,12,Tỉnh Lai Châu
3430,Xã Khun Há,Xã,12,Tỉnh Lai Châu
3433,Xã Bum Tở,Xã,12,Tỉnh Lai Châu
3434,Xã Nậm Hàng,Xã,12,Tỉnh Lai Châu
3439,Xã Thu Lũm,Xã,12,Tỉnh Lai Châu
3442,Xã Pa Ủ,Xã,12,Tỉnh Lai Châu
3445,Xã Mường Tè,Xã,12,Tỉnh Lai Châu
3451,Xã Mù Cả,Xã,12,Tỉnh Lai Châu
3460,Xã Hua Bum,Xã,12,Tỉnh Lai Châu
3463,Xã Tà Tổng,Xã,12,Tỉnh Lai Châu
3466,Xã Bum Nưa,Xã,12,Tỉnh Lai Châu
3472,Xã Mường Mô,Xã,12,Tỉnh Lai Châu
3478,Xã Sìn Hồ,Xã,12,Tỉnh Lai Châu
3487,Xã Lê Lợi,Xã,12,Tỉnh Lai Châu
3503,Xã Pa Tần,Xã,12,Tỉnh Lai Châu
3508,Xã Hồng Thu,Xã,12,Tỉnh Lai Châu
3517,Xã Nậm Tăm,Xã,12,Tỉnh Lai Châu
3529,Xã Tủa Sín Chải,Xã,12,Tỉnh Lai Châu
3532,Xã Pu Sam Cáp,Xã,12,Tỉnh Lai Châu
3538,Xã Nậm Mạ,Xã,12,Tỉnh Lai Châu
3544,Xã Nậm Cuổi,Xã,12,Tỉnh Lai Châu
3549,Xã Phong Thổ,Xã,12,Tỉnh Lai Châu
3562,Xã Sì Lở Lầu,Xã,12,Tỉnh Lai Châu
3571,Xã Dào San,Xã,12,Tỉnh Lai Châu
3583,Xã Khổng Lào,Xã,12,Tỉnh Lai Châu
3595,Xã Than Uyên,Xã,12,Tỉnh Lai Châu
3598,Xã Tân Uyên,Xã,12,Tỉnh Lai Châu
3601,Xã Mường Khoa,Xã,12,Tỉnh Lai Châu
3613,Xã Nậm Sỏ,Xã,12,Tỉnh Lai Châu
3616,Xã Pắc Ta,Xã,12,Tỉnh Lai Châu
3618,Xã Mường Than,Xã,12,Tỉnh Lai Châu
3637,Xã Mường Kim,Xã,12,Tỉnh Lai Châu
3640,Xã Khoen On,Xã,12,Tỉnh Lai Châu
3646,Phường Tô Hiệu,Phường,14,Tỉnh Sơn La
3664,Phường Chiềng An,Phường,14,Tỉnh Sơn La
3670,Phường Chiềng Cơi,Phường,14,Tỉnh Sơn La
3679,Phường Chiềng Sinh,Phường,14,Tỉnh Sơn La
3688,Xã Mường Chiên,Xã,14,Tỉnh Sơn La
3694,Xã Mường Giôn,Xã,14,Tỉnh Sơn La
3703,Xã Quỳnh Nhai,Xã,14,Tỉnh Sơn La
3712,Xã Mường Sại,Xã,14,Tỉnh Sơn La
3721,Xã Thuận Châu,Xã,14,Tỉnh Sơn La
3724,Xã Bình Thuận,Xã,14,Tỉnh Sơn La
3727,Xã Mường É,Xã,14,Tỉnh Sơn La
3754,Xã Chiềng La,Xã,14,Tỉnh Sơn La
3757,Xã Mường Khiêng,Xã,14,Tỉnh Sơn La
3760,Xã Mường Bám,Xã,14,Tỉnh Sơn La
3763,Xã Long Hẹ,Xã,14,Tỉnh Sơn La
3781,Xã Co Mạ,Xã,14,Tỉnh Sơn La
3784,Xã Nậm Lầu,Xã,14,Tỉnh Sơn La
3799,Xã Muổi Nọi,Xã,14,Tỉnh Sơn La
3808,Xã Mường La,Xã,14,Tỉnh Sơn La
3814,Xã Chiềng Lao,Xã,14,Tỉnh Sơn La
3820,Xã Ngọc Chiến,Xã,14,Tỉnh Sơn La
3847,Xã Mường Bú,Xã,14,Tỉnh Sơn La
3850,Xã Chiềng Hoa,Xã,14,Tỉnh Sơn La
3856,Xã Bắc Yên,Xã,14,Tỉnh Sơn La
3862,Xã Xím Vàng,Xã,14,Tỉnh Sơn La
3868,Xã Tà Xùa,Xã,14,Tỉnh Sơn La
3871,Xã Pắc Ngà,Xã,14,Tỉnh Sơn La
3880,Xã Tạ Khoa,Xã,14,Tỉnh Sơn La
3892,Xã Chiềng Sại,Xã,14,Tỉnh Sơn La
